redisTime     nowTime
1551330474.811193     1551330475.504460
1551330475.824178     1551330476.521746
1551330476.837343     1551330477.534492
1551330477.851614     1551330478.554386
1551330478.864625     1551330479.569315
1551330479.878406     1551330480.582910
1551330480.891455     1551330481.597520
1551330481.906283     1551330482.624237
1551330482.918815     1551330483.638855
1551330483.931355     1551330484.652938
1551330484.950749     1551330485.667266
1551330485.965478     1551330486.702520
1551330486.979785     1551330487.715089
1551330487.992399     1551330488.728808
1551330489.7622     1551330489.742576
1551330490.21930     1551330490.756642
1551330491.37404     1551330491.770169
1551330492.51167     1551330492.783402
1551330493.65716     1551330493.797599
1551330494.78791     1551330494.820284
1551330495.91815     1551330495.833632
1551330496.104467     1551330496.847758
1551330497.116564     1551330497.861022
1551330498.131709     1551330498.874836
1551330499.146031     1551330499.888872
1551330500.158478     1551330500.901854
1551330501.171947     1551330501.915837
1551330502.185613     1551330502.928282
1551330503.199129     1551330503.941917
1551330504.212707     1551330504.955836
1551330505.226126     1551330505.968665
1551330506.238701     1551330506.982640
1551330507.251213     1551330507.995272
1551330508.269361     1551330509.7493
1551330509.284403     1551330510.20209
1551330510.298360     1551330511.33386
1551330511.311089     1551330512.47170
1551330512.327409     1551330513.61473
1551330513.340799     1551330514.75509
1551330514.354380     1551330515.91094
1551330515.368993     1551330516.104675
1551330516.385115     1551330517.118978
1551330517.400187     1551330518.131408
1551330518.413167     1551330519.144360
1551330519.426149     1551330520.158747
1551330520.439874     1551330521.173628
1551330521.456771     1551330522.187642
1551330522.469750     1551330523.200247
1551330523.481988     1551330524.214118
1551330524.498049     1551330525.227388
1551330525.512671     1551330526.247235
1551330526.526384     1551330527.262322
1551330527.540838     1551330528.274877
1551330528.553679     1551330529.288092
1551330529.567728     1551330530.302573
1551330530.580994     1551330531.317886
1551330531.594861     1551330532.332201
1551330532.610392     1551330533.346211
1551330533.623837     1551330534.360089
1551330534.636315     1551330535.372692
1551330535.666881     1551330536.385299
1551330536.680845     1551330537.398470
1551330537.694581     1551330538.412292
1551330538.708671     1551330539.427252
1551330539.721975     1551330540.440528
1551330540.734869     1551330541.452790
1551330541.748379     1551330542.466394
1551330542.761556     1551330543.479420
1551330543.778371     1551330544.491919
1551330544.791094     1551330545.504728
1551330545.804725     1551330546.522359
1551330546.818059     1551330547.535791
1551330547.832634     1551330548.564674
1551330548.847236     1551330549.578011
1551330549.862006     1551330550.592423
1551330550.877742     1551330551.605344
1551330551.890807     1551330552.617507
1551330552.903475     1551330553.630825
1551330553.917112     1551330554.643677
1551330554.931007     1551330555.657843
1551330555.944052     1551330556.671180
1551330556.966768     1551330557.685013
1551330557.980096     1551330558.698330
1551330558.994304     1551330559.713197
1551330560.7544     1551330560.726662
1551330561.22302     1551330561.739501
1551330562.36252     1551330562.752538
1551330563.49935     1551330563.765362
1551330564.62910     1551330564.778398
1551330565.77007     1551330565.795940
1551330566.93491     1551330566.809760
1551330567.127502     1551330567.824298
1551330568.152966     1551330568.837121
1551330569.166535     1551330569.851501
1551330570.179405     1551330570.865731
1551330571.194052     1551330571.878683
1551330572.207758     1551330572.891761
1551330573.221181     1551330573.904065
1551330574.235433     1551330574.916695
1551330575.250064     1551330575.930119
1551330576.262259     1551330576.943864
1551330577.292524     1551330577.956976
1551330578.305778     1551330578.971050
1551330579.319865     1551330579.985048
1551330580.331677     1551330580.997820
1551330581.343995     1551330582.10079
1551330582.357056     1551330583.24235
1551330583.370118     1551330584.37123
1551330584.383850     1551330585.50635
1551330585.400399     1551330586.63111
1551330586.413731     1551330587.75692
1551330587.427347     1551330588.109952
1551330588.457766     1551330589.130431
1551330589.490987     1551330590.147079
1551330590.509088     1551330591.160525
1551330591.542661     1551330592.174941
1551330592.557031     1551330593.190616
1551330593.569730     1551330594.223925
1551330594.586404     1551330595.237752
1551330595.604244     1551330596.254149
1551330596.617095     1551330597.289481
1551330597.631229     1551330598.301566
1551330598.648433     1551330599.313880
1551330599.923803     1551330600.329940
1551330600.937266     1551330601.364241
1551330601.953270     1551330602.378308
1551330602.967465     1551330603.392372
1551330603.982677     1551330604.404645
1551330604.994940     1551330605.418151
1551330606.8637     1551330606.432219
1551330607.21866     1551330607.446438
1551330608.36582     1551330608.461752
1551330609.48889     1551330609.475315
1551330610.62965     1551330610.488750
1551330611.77309     1551330611.503248
1551330612.90879     1551330612.518287
1551330613.103268     1551330613.530386
1551330614.117012     1551330614.543959
1551330615.131177     1551330615.556992
1551330616.143607     1551330616.570150
1551330617.155805     1551330617.583374
1551330618.168353     1551330618.598351
1551330619.182112     1551330619.610336
1551330620.197204     1551330620.623142
1551330621.210149     1551330621.650961
1551330622.224015     1551330622.662983
1551330623.236484     1551330623.682527
1551330624.248813     1551330624.695619
1551330625.262382     1551330625.709003
1551330626.275887     1551330626.725661
1551330627.291236     1551330627.738277
1551330628.304740     1551330628.751555
1551330629.317235     1551330629.764348
1551330630.330514     1551330630.776924
1551330631.345013     1551330631.797939
1551330632.360652     1551330632.810020
1551330633.373672     1551330633.824651
1551330634.386726     1551330634.836956
1551330635.401166     1551330635.849875
1551330636.413841     1551330636.861621
1551330637.431019     1551330637.875199
1551330638.444868     1551330638.888206
1551330639.458232     1551330639.902817
1551330640.470637     1551330640.915862
1551330641.482684     1551330641.942167
1551330642.516438     1551330642.955946
1551330643.532004     1551330643.970776
1551330644.546195     1551330644.984775
1551330645.560026     1551330645.997007
1551330646.573240     1551330647.9278
1551330647.586700     1551330648.22998
1551330648.599851     1551330649.37815
1551330649.613250     1551330650.52546
1551330650.625929     1551330651.65300
1551330651.646744     1551330652.77525
1551330652.659215     1551330653.92012
1551330653.672470     1551330654.106013
1551330654.696265     1551330655.120133
1551330655.710858     1551330656.138931
1551330656.725212     1551330657.152819
1551330657.743058     1551330658.164933
1551330658.756781     1551330659.176797
1551330659.775771     1551330660.190151
1551330660.791016     1551330661.204253
1551330661.803871     1551330662.218739
1551330662.818024     1551330663.231188
1551330663.840365     1551330664.243910
1551330664.853532     1551330665.258991
1551330665.865854     1551330666.271277
1551330666.879602     1551330667.284825
1551330667.893212     1551330668.306061
1551330668.907351     1551330669.318466
1551330669.921066     1551330670.340665
1551330670.939177     1551330671.355125
1551330671.953301     1551330672.370114
1551330672.967766     1551330673.401731
1551330673.988861     1551330674.415278
1551330675.3812     1551330675.428343
1551330676.19348     1551330676.441707
1551330677.32875     1551330677.456257
1551330678.47346     1551330678.470488
1551330679.59909     1551330679.482727
1551330680.72750     1551330680.499757
1551330681.85727     1551330681.519110
1551330682.98685     1551330682.533651
1551330683.111654     1551330683.547973
1551330684.124527     1551330684.561096
1551330685.138608     1551330685.574306
1551330686.152517     1551330686.588407
1551330687.169524     1551330687.601844
1551330688.182953     1551330688.614580
1551330689.195946     1551330689.628405
1551330690.209508     1551330690.649306
1551330691.221997     1551330691.667324
1551330692.235966     1551330692.695636
1551330693.258806     1551330693.708902
1551330694.271090     1551330694.721767
1551330695.283608     1551330695.735798
1551330696.296605     1551330696.749689
1551330697.310857     1551330697.762678
1551330698.326551     1551330698.774345
1551330699.342991     1551330699.788404
1551330700.356396     1551330700.806532
1551330701.370213     1551330701.828061
1551330702.385531     1551330702.840665
1551330703.400429     1551330703.854902
1551330704.413889     1551330704.867730
1551330705.428539     1551330705.881308
1551330706.442673     1551330706.894892
1551330707.455489     1551330707.908997
1551330708.468590     1551330708.923492
1551330709.483182     1551330709.940402
1551330710.502200     1551330710.967413
1551330711.523803     1551330711.979934
1551330712.548067     1551330712.992200
1551330713.561658     1551330714.4995
1551330714.575720     1551330715.19367
1551330715.589586     1551330716.32104
1551330716.604986     1551330717.44865
1551330717.617751     1551330718.57658
1551330718.633860     1551330719.72426
1551330719.666914     1551330720.85276
1551330720.681105     1551330721.104574
1551330721.693913     1551330722.117818
1551330722.708020     1551330723.130843
1551330723.723415     1551330724.144928
1551330724.738053     1551330725.157087
1551330725.751643     1551330726.169986
1551330726.765959     1551330727.182232
1551330727.779618     1551330728.196144
1551330728.792447     1551330729.208531
1551330729.806315     1551330730.222116
1551330730.819094     1551330731.235523
1551330731.832875     1551330732.252079
1551330732.848540     1551330733.266278
1551330733.862730     1551330734.278913
1551330734.878235     1551330735.292394
1551330735.891157     1551330736.307015
1551330736.903198     1551330737.320496
1551330737.916003     1551330738.334783
1551330738.934012     1551330739.346994
1551330739.965663     1551330740.359939
1551330740.978575     1551330741.378648
1551330741.993251     1551330742.391689
1551330743.6733     1551330743.404669
1551330744.19822     1551330744.418724
1551330745.34035     1551330745.432520
1551330746.46476     1551330746.446380
1551330747.62725     1551330747.459279
1551330748.77104     1551330748.474005
1551330749.89799     1551330749.487403
1551330750.104978     1551330750.500414
1551330751.118047     1551330751.514223
1551330752.132676     1551330752.526762
1551330753.146686     1551330753.540876
1551330754.159717     1551330754.554800
1551330755.172091     1551330755.567907
1551330756.186513     1551330756.582651
1551330757.200437     1551330757.601867
1551330758.214013     1551330758.616741
1551330759.227586     1551330759.645114
1551330760.257686     1551330760.659739
1551330761.271629     1551330761.673320
1551330762.286493     1551330762.691382
1551330763.298966     1551330763.703232
1551330764.311410     1551330764.717362
1551330765.324512     1551330765.730454
1551330766.337842     1551330766.752920
1551330767.359885     1551330767.766309
1551330768.373029     1551330768.780330
1551330769.391021     1551330769.793382
1551330770.404851     1551330770.807090
1551330771.418032     1551330771.820347
1551330772.431462     1551330772.835227
1551330773.443734     1551330773.849999
1551330774.456910     1551330774.863847
1551330775.470668     1551330775.878769
1551330776.485036     1551330776.893541
1551330777.512404     1551330777.906565
1551330778.526510     1551330778.919695
1551330779.540736     1551330779.934118
1551330780.554997     1551330780.948190
1551330781.568019     1551330781.961923
1551330782.580894     1551330782.973978
1551330783.598815     1551330784.5734
1551330784.612544     1551330785.19814
1551330785.631106     1551330786.31624
1551330786.644698     1551330787.44416
1551330787.659599     1551330788.56870
1551330788.692850     1551330789.72188
1551330789.706228     1551330790.85567
1551330790.720185     1551330791.116119
1551330791.735096     1551330792.129920
1551330792.748744     1551330793.142172
1551330793.761006     1551330794.155246
1551330794.773827     1551330795.167570
1551330795.785907     1551330796.196475
1551330796.799954     1551330797.209748
1551330797.814023     1551330798.227952
1551330798.826892     1551330799.240612
1551330799.839824     1551330800.255248
1551330800.852789     1551330801.276567
1551330801.865204     1551330802.290885
1551330802.889687     1551330803.304198
1551330803.904134     1551330804.318343
1551330804.918722     1551330805.331254
1551330805.932533     1551330806.353945
1551330806.947840     1551330807.368414
1551330807.960370     1551330808.383898
1551330808.974179     1551330809.395289
1551330809.987144     1551330810.408254
1551330810.999570     1551330811.436657
1551330812.13445     1551330812.451026
1551330813.26501     1551330813.465781
1551330814.40004     1551330814.479391
1551330815.51642     1551330815.493087
1551330816.64523     1551330816.508256
1551330817.77538     1551330817.522191
1551330818.90713     1551330818.535549
1551330819.104318     1551330819.547598
1551330820.116640     1551330820.560701
1551330821.132321     1551330821.577528
1551330822.166240     1551330822.591439
1551330823.182744     1551330823.603615
1551330824.195039     1551330824.618610
1551330825.208559     1551330825.633164
1551330826.223307     1551330826.664432
1551330827.236315     1551330827.678903
1551330828.267451     1551330828.692582
1551330829.280824     1551330829.706294
1551330830.293630     1551330830.719381
1551330831.308381     1551330831.733838
1551330832.327257     1551330832.747116
1551330833.341160     1551330833.760658
1551330834.353885     1551330834.773602
1551330835.368172     1551330835.788516
1551330836.380167     1551330836.801500
1551330837.393529     1551330837.815939
1551330838.406586     1551330838.828970
1551330839.418671     1551330839.843125
1551330840.431953     1551330840.855663
1551330841.443949     1551330841.868217
1551330842.458504     1551330842.881972
1551330843.471300     1551330843.894635
1551330844.487856     1551330844.908214
1551330845.504914     1551330845.922992
1551330846.518441     1551330846.941463
1551330847.534502     1551330847.956494
1551330848.547932     1551330848.971674
1551330849.561663     1551330849.985987
1551330850.576739     1551330850.999435
1551330851.589484     1551330852.12644
1551330852.604920     1551330853.28358
1551330853.618522     1551330854.42408
1551330854.632300     1551330855.55629
1551330855.646689     1551330856.68815
1551330856.659893     1551330857.81604
1551330857.675668     1551330858.96191
1551330858.687953     1551330859.108879
1551330859.705849     1551330860.120776
1551330860.719041     1551330861.134846
1551330861.731724     1551330862.153499
1551330862.744656     1551330863.167560
1551330863.758556     1551330864.183354
1551330864.782737     1551330865.196789
1551330865.796801     1551330866.211379
1551330866.811435     1551330867.223001
1551330867.833144     1551330868.236382
1551330868.845279     1551330869.250737
1551330869.858081     1551330870.265574
1551330870.871935     1551330871.277390
1551330871.891741     1551330872.291952
1551330872.906025     1551330873.304912
1551330873.920035     1551330874.318515
1551330874.933182     1551330875.331933
1551330875.947956     1551330876.345002
1551330876.960856     1551330877.358594
1551330877.972931     1551330878.371650
1551330879.8176     1551330879.383904
1551330880.21149     1551330880.397678
1551330881.34933     1551330881.413206
1551330882.48629     1551330882.426287
1551330883.62906     1551330883.440977
1551330884.76798     1551330884.452924
1551330885.90778     1551330885.466596
1551330886.114430     1551330886.478892
1551330887.137902     1551330887.492068
1551330888.151668     1551330888.506241
1551330889.165654     1551330889.518874
1551330890.179992     1551330890.531366
1551330891.196036     1551330891.545484
1551330892.224426     1551330892.557742
1551330893.237017     1551330893.571371
1551330894.250063     1551330894.585337
